可	〔가〕옳을
家	〔가〕집
加	〔가〕더할
歌	〔가〕노래
價	〔가〕값
街	〔가〕거리
假	〔가〕거짓
佳	〔가〕아름다울
暇	〔가〕겨를
架	〔가〕시렁
賈	〔가〕값, 값/성 〔고〕장사, 값/성
伽	〔가〕절
柯	〔가〕가지
迦	〔가〕부처이름
軻	〔가〕수레 가기 힘들, 바퀴굴대
嘉	〔가〕아름다울
駕	〔가〕멍에
嫁	〔가〕시집갈
稼	〔가〕심을, 곡식심을
哥	〔가〕노래, 형언니
呵	〔가〕꾸짖을
苛	〔가〕매울, 까다로울
袈	〔가〕가사
訶	〔가〕꾸짖을
枷	〔가〕목칼, 도리깨채, 형구
珂	〔가〕옥 이름
茄	〔가〕가지
痂	〔가〕헌데 딱지
跏	〔가〕책상다리할, 도사리어 앉을
斝	〔가〕옥잔
葭	〔가〕갈대
舸	〔가〕큰 배
笳	〔가〕갈잎피리
哿	〔가〕좋을
坷	〔가〕험할
檟	〔가〕오동나무
謌	〔가〕歌와 同字
珈	〔가〕머리꾸미개
榎	〔가〕檟와 同字
仮	〔가〕假의 略字 〔반〕反과 同字
傢	〔가〕세간
咖	〔가〕커피차, 커피의 음차로 쓰는자
耞	〔가〕도리깨
佳景洞	지명
佳谷洞	지명
駕谷洞	지명
佳谷面	지명
可金面	지명
加那陀	캐나다
加奈陀	캐나다
加那太	캐나다
加南面	지명
加納	가나
佳陵洞	지명
加大洞	지명
加德面	지명
可樂洞	지명
駕洛洞	지명
嘉禮面	지명
哥倫比亞	콜롬비아
加里峰洞	지명
加蓬	가봉
加北面	지명
哥斯達利加	코스타리카
加士洞	지명
加山洞	지명
加山面	지명
架山面	지명
佳水洞	지명
佳水院洞	지명
可也谷面	지명
伽倻洞	지명
伽倻面	지명
伽倻邑	지명
佳陽洞	지명
加陽洞	지명
加連邦	캐나다
加午洞	지명
加雲洞	지명
加恩邑	지명
加音洞	지명
佳音面	지명
加音丁洞	지명
佳庄洞	지명
佳狀洞	지명
佳長洞	지명
佳才洞	지명
佳亭洞	지명
柯亭洞	지명
加祚面	지명
佳佐洞	지명
加佐洞	지명
佳主洞	지명
佳州洞	지명
嘉昌面	지명
佳川	지명
伽泉面	지명
加平郡	지명
加平邑	지명
架浦洞	지명
駕鶴洞	지명
加峴洞	지명
嘉會洞	지명
佳會面	지명
可興洞	지명
各	〔각〕각각
角	〔각〕뿔
脚	〔각〕다리, 종아리
覺	〔각〕깨달을
閣	〔각〕문설주, 다락집
刻	〔각〕새길
却	〔각〕물리칠
珏	〔각〕쌍옥
恪	〔각〕삼갈, 공경할
殼	〔각〕껍질
慤	〔각〕삼갈, 정성
桷	〔각〕서까래
搉	〔각〕칠
卻	〔각〕却의 本字
咯	〔각〕토할
埆	〔각〕메마를
擱	〔각〕놓을
角南面	지명
角北面	지명
角山	지명
角化洞	지명
間	〔간〕틈, 사이
干	〔간〕방패
看	〔간〕볼
乾	〔간〕마를 〔건〕하늘, 괘 이름, 서북쪽, 굳셀, 임금
幹	〔간〕줄기, 우물난간
姦	〔간〕간사할
刊	〔간〕책 펴낼
肝	〔간〕간
簡	〔간〕대쪽
懇	〔간〕정성, 간절할
奸	〔간〕범할, 간악할, 간사할
艮	〔간〕괘이름, 간방
杆	〔간〕지레, 나무이름, 산뽕나무
諫	〔간〕간할
艱	〔간〕어려울, 고생살이
揀	〔간〕가릴, 분별할
澗	〔간〕산골물
竿	〔간〕장대, 화살대, 횃대, 대줄기
墾	〔간〕따비질할, 개간할
癎	〔간〕경풍, 간질
侃	〔간〕강직할
柬	〔간〕가릴
磵	〔간〕산골 시내, 석간수, 산골물
桿	〔간〕줄기 〔한〕막대기
稈	〔간〕짚, 볏짚
赶	〔간〕달릴
衎	〔간〕즐길, 바를
慳	〔간〕아낄
榦	〔간〕幹의 本字
玕	〔간〕옥돌
迀	〔간〕구할, 권할
偘	〔간〕侃과 同字
秆	〔간〕稈과 同字
栞	〔간〕도표
茛	〔간〕독초이름, 미나리아재비
齦	〔간〕물을
看東面	지명
柬埔寨	캄보디아
柬蒲塞	캄보디아
間石洞	지명
杆城邑	지명
艮田面	지명
渴	〔갈〕목마를, 급할
葛	〔갈〕칡
鞨	〔갈〕말갈나라, 말갈보석
竭	〔갈〕다할, 마를
喝	〔갈〕꾸짖을, 성낸 소리 〔애〕목 쉴
褐	〔갈〕털베, 굵은 베, 천한사람, 갈옷
曷	〔갈〕어찌, 그칠, 벌레이름
碣	〔갈〕비, 우뚝선 돌, 동해의 산이름
蝎	〔갈〕전갈, 빈대
乫	〔갈〕땅이름
羯	〔갈〕불친 양, 땅이름
秸	〔갈〕볏짚, 짚 고갱이
楬	〔갈〕패를 써서 표시할
噶	〔갈〕벼슬이름, 땅이름
蠍	〔갈〕전갈
葛公	지명
葛串洞	지명
葛馬洞	지명
葛末邑	지명
葛梅洞	지명
葛山	지명
葛山洞	지명
葛山面	지명
葛月洞	지명
葛田洞	지명
葛川洞	지명
葛峙洞	지명
葛峴洞	지명
感	〔감〕감동할, 찌를, 깨달을, 느낄
減	〔감〕덜, 무지러질, 가벼울, 물이름, 감할
敢	〔감〕감히, 구태여, 날랠, 용맹할
甘	〔감〕달, 달게 여길
監	〔감〕거느릴, 살필, 볼, 벼슬, 감옥
鑑	〔감〕거울, 밝을, 비칠, 경계할
憾	〔감〕섭섭할, 한할, 한혐할
邯	〔감〕조나라 서울 〔한〕고을 이름
堪	〔감〕견딜, 이길, 맡을, 하늘, 산 모양이 기괴할
勘	〔감〕마감할, 정할
瞰	〔감〕굽어볼, 내려다 볼
紺	〔감〕아청, 보랏빛, 연보라
柑	〔감〕감귤, 감자
疳	〔감〕감질병, 궤양, 창병, 종기 아플
坎	〔감〕구덩이, 험할, 작은 잔, 괘 이름, 불우하여 뜻을 이루지 못할
戡	〔감〕찌를, 이길, 죽일
鑒	〔감〕鑑과 同字, 거울
嵌	〔감〕깊은 골, 곁굴, 깊은 산, 산골짜기
橄	〔감〕감람나무
龕	〔감〕취할, 이길, 감실
撼	〔감〕흔들, 움직일, 깨뜨릴
欿	〔감〕서운할, 찌푸릴, 걱정할
弇	〔감〕뚜껑, 사람이름
嵁	〔감〕산 험할
憨	〔감〕어리석을, 미련할
坩	〔감〕도가니
埳	〔감〕구덩이
凵	〔감〕입벌리다
甘谷面	지명
戡蠻洞	지명
甘文面	지명
甘勿面	지명
甘北洞	지명
甘三洞	지명
甘二洞	지명
甘一洞	지명
甘田洞	지명
坎井洞	지명
甘川洞	지명
甘川面	지명
甘泉面	지명
甘浦邑	지명
甘湖洞	지명
甲	〔갑〕갑옷, 첫째 천간, 비롯할, 떡잎 날, 법령, 대궐
閘	〔갑〕문 빗장, 물 문
岬	〔갑〕산 허구리, 줄이 느런할, 산허리
鉀	〔갑〕갑옷
匣	〔갑〕궤, 상자, 궤짝
胛	〔갑〕어깻죽지
韐	〔갑〕가죽바지
甲洞	지명
鉀堤洞	지명
甲川面	지명
江	〔강〕가람, 물
强	〔강〕강할, 나머지, 바구미
講	〔강〕강론할, 강구할, 익힐, 강화할
降	〔강〕내릴, 떨어질, 돌아갈 〔항〕항복할, 떨어질
康	〔강〕편안할, 즐거울, 다섯거리
綱	〔강〕벼리, 근본, 법, 대강
鋼	〔강〕쇠, 강철
姜	〔강〕성씨, 강할
剛	〔강〕굳을, 굳셀, 꼬장할, 바야흐로
疆	〔강〕땅 경계, 갈피, 굳셀, 변방, 지경
岡	〔강〕멧동, 산등성이
彊	〔강〕굳셀, 센 활, 사나울, 송장 뻣뻣할, 꿋꿋할
崗	〔강〕岡의 俗字, 산등성이
慷	〔강〕강개할
腔	〔강〕창자, 속 빌, 뼈대, 말 허구리
薑	〔강〕생강, 새앙
糠	〔강〕겨, 번쇄할
舡	〔강〕오나라 배
絳	〔강〕깊게 붉을, 강초, 깊게 붉은
襁	〔강〕포대기
羌	〔강〕오랑캐, 말 끝낼
堈	〔강〕언덕, 밭 두둑, 독
畺	〔강〕疆과 同字, 지경
鱇	〔강〕천징어
杠	〔강〕외나무 다리, 깃대, 상 앞 가로막대, 올릴
僵	〔강〕엎드러질, 쓰러질
忼	〔강〕강개할, 뜻이 크고 기개있을, 탄식할
橿	〔강〕참죽나무, 호미자루, 사닥다리, 억셀
韁	〔강〕고삐
茳	〔강〕강리풀
壃	〔강〕疆과 同字
扛	〔강〕마주 들
殭	〔강〕죽어 썩지 않을, 마른 누에
矼	〔강〕돌다리, 징검다리, 성실할
繈	〔강〕繦의 本字
穅	〔강〕겨, 악기이름
罡	〔강〕강별
羗	〔강〕羌과 同字
羫	〔강〕밭 갈
傋	〔강〕아첨 아니할
豇	〔강〕광저기
強	〔강〕강할
强羌水越來	강강술래의 잘못
江景邑	지명
剛果共和國	콩고 공화국
剛果民主共和國	콩고 민주 공화국
江口面	지명
江南區	지명
江南洞	지명
江南콩	강낭콩
江內面	지명
江洞	지명
江東區	지명
江東洞	지명
江東面	지명
江陵市	지명
講林面	지명
江梅洞	지명
江門洞	지명
江北區	지명
岡比亞	감비아
薑山洞	지명
江上面	지명
江西區	지명
江西洞	지명
江外面	지명
江原道	지명
江汀洞	지명
江諸洞	지명
康津郡	지명
江津面	지명
康津邑	지명
康川面	지명
江下面	지명
降峴面	지명
江華郡	지명
江華邑	지명
江興洞	지명
改	〔개〕고칠, 거듭할, 바꿀
開	〔개〕열, 통할, 발할, 베풀, 풀
個	〔개〕낱, 치우칠
皆	〔개〕모두, 한 가지, 같을, 다
豈	〔개〕승전악, 일찍 〔기〕어찌, 일찍
槪	〔개〕평두목, 절개, 대강, 거리낄, 칠한 술통, 대개
介	〔개〕낄, 도울, 맬, 클, 중매할
蓋	〔개〕뚜껑, 덮개, 이엉, 우산, 가리울, 덮을
慨	〔개〕분할, 강개할, 슬플, 분개할
价	〔개〕착할, 클, 사신
塏	〔개〕시원한 땅
箇	〔개〕낱, 개수
漑	〔개〕물 댈, 씻을, 물 천천히 흐를
芥	〔개〕겨자, 갓, 지푸라기, 티끌
凱	〔개〕싸움 이긴 풍류, 착할, 마파람, 좋은 사람, 승전악
愾	〔개〕한숨 쉴, 성낼, 노할 〔희〕한숨
盖	〔개〕蓋의 俗字, 뚜껑
鎧	〔개〕투구, 갑옷
愷	〔개〕탐할, 급할, 편안할
恝	〔개〕걱정 없을 〔괄〕걱정 없을, 깜짝
疥	〔개〕옴
槩	〔개〕槪와 同字
剴	〔개〕낫, 가까울, 간절할
玠	〔개〕큰 서옥
揩	〔개〕문지를, 문질러 훔칠
匃	〔개〕청구할, 줄, 빌
闓	〔개〕열, 풀, 활깍지
磕	〔개〕돌 부딪는 소리
介軍面	지명
開琴洞	지명
開寧面	지명
開福洞	지명
開峰洞	지명
開寺洞	지명
開新洞	지명
開雲洞	지명
開井	지명
開井面	지명
開津面	지명
介川面	지명
開浦洞	지명
開浦面	지명
開花洞	지명
客	〔객〕손님, 부칠, 나그네, 지날
喀	〔객〕기침할, 토할
更	〔갱〕다시 〔경〕고칠, 다시
坑	〔갱〕빠질, 묻을, 구덩이
羹	〔갱〕국
粳	〔갱〕메벼
賡	〔갱〕이을, 일
鏗	〔갱〕금석 소리, 사람이름
硜	〔갱〕아릿아릿할, 알랑알랑할, 돌소리
醵	〔갹〕술추렴 〔거〕술추렴, 추렴 걷을
車	〔거〕수레, 그물, 잇몸 〔차〕수레
去	〔거〕갈, 버릴, 오래될, 떨어질, 쫓을, 감출
居	〔거〕살, 곳, 앉을, 놓을, 쌓을
巨	〔거〕클, 많을, 억
擧	〔거〕들, 받들, 움직일, 일걸을
拒	〔거〕막을, 맞설, 다닥칠, 다다를
距	〔거〕며느리 발톱, 지낼, 뛸, 겨룰, 미눌, 떨어질
據	〔거〕의지할, 기댈, 웅거할, 짚을
渠	〔거〕개천, 도랑, 휑덩그렁할, 클, 껄껄 웃을, 무엇
倨	〔거〕거만할, 걸터 앉을, 굽을
遽	〔거〕급할, 두려울, 역말 수레
据	〔거〕가질, 길거할, 의지할, 손병
祛	〔거〕물리칠, 빌, 굳셀
鉅	〔거〕갈고리, 클, 강한 쇠, 갈구리
炬	〔거〕횃불, 불 땔, 햇불
踞	〔거〕걸터앉을
鋸	〔거〕톱, 다리 꺾는 형벌
裾	〔거〕옷 뒷자락
袪	〔거〕소매, 소매 아귀
蘧	〔거〕패랭이꽃, 석죽화, 마음에 든든할
莒	〔거〕모시풀, 나라이름, 고을이름
蕖	〔거〕연꽃
秬	〔거〕검은 기장
籧	〔거〕대자리, 천상바라기, 양잠기
駏	〔거〕튀기, 거공벌레
腒	〔거〕건치, 꿩 포
苣	〔거〕상추, 검은 깨
胠	〔거〕열, 갈비
筥	〔거〕쌀 담는 광주리, 볏단
佉	〔거〕나라이름
呿	〔거〕입 딱 벌일
昛	〔거〕밝을
巨東洞	지명
巨流面	지명
去毛洞	지명
巨餘洞	지명
居依	지명
巨堤洞	지명
巨濟面	지명
巨濟市	지명
巨津邑	지명
居昌郡	지명
居昌邑	지명
